Comment,Designator,Footprint,LCSC
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
PCM2912A,U1,TQFP-32_7x7mm_P0.8mm,C475497
6 MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C5380505
3u3,"C10,C6",C_0402_1005Metric,C695126
TPA2012D2RTJR,U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,C7717
1uH / <0.6Ω,L1,L_0805_2012Metric,C99367
1u,C28,C_0402_1005Metric,
33k,R9,R_0402_1005Metric,
100p,C5,C_0402_1005Metric,
47n,C17,C_0402_1005Metric,
10u,C22,C_0402_1005Metric,
10u,C24,C_0402_1005Metric,
470n,C20,C_0402_1005Metric,
470n,C18,C_0402_1005Metric,
470n,C21,C_0402_1005Metric,
47n,C15,C_0402_1005Metric,
100p,C4,C_0402_1005Metric,
5k1,R13,R_0402_1005Metric,
5k1,R14,R_0402_1005Metric,
100n,C25,C_0402_1005Metric,
100,R6,R_0402_1005Metric,
100n,C27,C_0402_1005Metric,
10u,C26,C_0402_1005Metric,
470n,C19,C_0402_1005Metric,
100,R5,R_0402_1005Metric,
100n,C23,C_0402_1005Metric,
33k,R12,R_0402_1005Metric,
100n,C7,C_0402_1005Metric,
33k,R7,R_0402_1005Metric,
33k,R10,R_0402_1005Metric,
22,R2,R_0402_1005Metric,
1u,C8,C_0402_1005Metric,
1M,R4,R_0402_1005Metric,
33k,R11,R_0402_1005Metric,
100n,C9,C_0402_1005Metric,
33k,R15,R_0402_1005Metric,
33k,R8,R_0402_1005Metric,
10u,C16,C_0402_1005Metric,
22,R1,R_0402_1005Metric,
8p,C2,C_0402_1005Metric,
8p,C3,C_0402_1005Metric,
1k5,R3,R_0402_1005Metric,
1u,C14,C_0402_1005Metric,
1u,C12,C_0402_1005Metric,
10u,C13,C_0402_1005Metric,
1u,C1,C_0402_1005Metric,
1u,C11,C_0402_1005Metric,
